"","x"
"1",0.103105548130885
"2",0.0204765798929809
"3",0.0861336977742864
"4",0.0222389372035389
"5",0.0454320650566892
"6",0.249568357547701
"7",0.194134979061791
"8",0.21710883529599
"9",0.191844016773777
"10",0.221960610319819
"11",0.197760986954531
"12",0.18113708167985
"13",0.724943117791893
"14",0.208898637067031
"15",0.0612717439247474
"16",0.0202280252726828
"17",0.0156742759882221
"18",0.0262471876759812
"19",0.179161649511862
"20",0.0285784737799964
"21",0.226117157963232
"22",0.0242825722892723
"23",0.047734152649929
"24",0.0351287848762335
"25",0.0249613968230106
"26",0.221370781270564
"27",0.201721132590053
"28",0.0847810656343042
"29",0.052014380329354
"30",0.0287510368816714
"31",0.0511885910058563
"32",0.0393014314918791
"33",0.0969443571308845
"34",0.0341519393855837
"35",0.172822436516292
"36",0.1278270214562
"37",0.0683511328397924
"38",0.0346873280530905
"39",0.034094038131847
"40",0.0364784842281377
"41",0.408986437843492
"42",0.038253478652126
"43",0.0281487415198568
"44",0.0202831769820322
"45",0.0362215005541058
"46",0.0233279621767937
"47",0.0265634970790263
"48",0.0240194687634113
"49",0.0364917703848165
"50",0.0536070148339234
"51",0.0225187263864443
"52",0.184171660774466
"53",0.190339877365531
"54",0.043124175753502
"55",0.0199558631635588
"56",0.166596134095445
"57",0.198498391589094
"58",0.0147554373610603
"59",0.0151522756488225
"60",0.0322846821589834
"61",0.239782776220076
"62",0.0415870603082269
"63",0.195313685769853
"64",0.0227062636564223
"65",0.0195519418946559
"66",0.330487567760323
"67",0.0119292265297781
"68",0.0173453244126288
"69",0.173778287833756
"70",0.0269038610175252
"71",0.0432881981241639
"72",0.0336818048826522
"73",0.0278133857071111
"74",0.165194567284742
"75",0.0416864267862015
"76",0.0314963266803532
"77",0.104629605786079
"78",0.0379409694182383
"79",0.0254321867840281
"80",0.0348012662723311
"81",0.0341674082301871
"82",0.0253801900016216
"83",0.020253282671046
"84",0.196807022030786
"85",0.0121203869200592
"86",0.0258867440624027
"87",0.0205835527207476
"88",0.0305282255157101
"89",0.123437832351869
"90",0.0131972017902761
"91",0.0409363442704846
"92",0.0690173246913792
"93",0.0168328533520793
"94",0.286030824565697
"95",0.189002271113986
"96",0.0336468021773364
"97",0.0195982969554453
"98",0.18676179646542
"99",0.15035601146483
"100",0.0419231341557673
"101",0.165508021630069
"102",0.063354619695037
"103",0.0198118221007034
"104",0.0457839312187401
"105",0.0372062012397515
"106",0.014096305134008
"107",0.0081655481521764
"108",0.0228921453199772
"109",0.0142056523783931
"110",0.00993001771286389
"111",0.020447748996993
"112",0.0106068581741002
"113",0.0318471931713029
"114",0.0154070950221444
"115",0.0212151354674935
"116",0.098093957867703
"117",0.0220779380717435
