,dim1,dim2,dim3,dim4,label
A/CHICKEN/SCOTLAND/1959_C,-0.3397984530575435,0.10912410985856336,0.3081968994991021,0.2760495378384882,2
A/TERN/SOUTH-AFRICA/1961_C,-0.14923164867361116,0.15318200529424342,0.1738912437162068,0.382620361417378,2
A/TURKEY/WISCONSIN/1968_C,1.2248008074337455,0.18813517137544633,-0.41127606586813936,1.0349643290031545,0
A/DUCK/HONG-KONG/205/1977_C,-1.4032865974322786,1.53402788586435,0.6276407507889861,-0.2818692534848739,0
A/CHICKEN/HIDALGO/28159-232/1994_C,0.9737094678778329,0.022815769074340242,-0.4599148015454384,-0.556942473954832,2
A/EMU/NEW-YORK/12716/1994_C,0.6114947464543264,-0.009230755526033627,-0.10993004975793763,0.4228156832083898,0
A/MALLARD/NETHERLANDS/3/1999_C,1.9616256433694927,0.32622612635412085,-0.659951536956453,-0.24198948798910308,2
A/AVIAN/NEW-YORK/315883/2000_C,0.17182139517504957,0.39395395972703895,0.12606160088299978,-0.15564950920599893,2
A/ENVIRONMENT/DELAWARE/1346/2001_C,-0.4689038861412551,0.27816517366692883,0.44460242889993795,0.7159708895014507,2
A/MALLARD/SWEDEN/21/2002_C,0.6184404669467254,0.39546801514716856,-0.05216483281194151,-0.11750787750797223,2
A/MALLARD/SWEDEN/49/2002_C,0.7932042500872969,0.25519765453365517,-0.23177931338635194,0.18084407580007533,2
A/MALLARD/SWEDEN/7/2002_C,-0.03645896652898628,0.3483706052526552,0.1696806978303692,0.2883325598295222,2
A/HONG-KONG/486/1997_0,-0.3540381569015705,0.16896417929271101,0.3819700913390339,0.47488714200056026,2
A/HONG-KONG/156/1997_0,-0.13345206586214475,0.20932154252154356,0.19144721346250737,0.26157378252546826,2
A/HONG-KONG/483/1997_0,-0.4308428008224846,0.310297523690934,-0.15386855751359185,-0.11500990732134708,0
A/VIETNAM/1194/2004_1,0.1866457685260577,-0.29488056915587135,-0.13104521578432138,-0.0023325031666390217,0
A/VIETNAM/1203/2004_1,0.7022635178497463,-0.4517735581130822,0.07011781277641349,0.15070465825536816,0
A/VIETNAM/1204/2004_1,0.4727749922460874,-0.8358704078285051,-0.400674139604853,0.26333701021926625,0
A/VIETNAM/3212/2004_1,-0.12663515510270784,-0.35848866693100034,0.041479727085265594,-0.07695954467229127,0
A/VIETNAM/3218/2004_1,0.09016845227496167,-0.5666217720105904,-0.17018498024229656,0.08051166601505999,0
A/CAMBODIA/R0405050/2007_1-1,2.4538233429031022,0.6437464006614168,-1.1216581065814628,1.0104529852032864,0
A/DUCK/VIETNAM/OIE-0062/2012_1-1-1,0.06446646421858604,-0.35526686660092377,-0.14527417803154963,-0.029919766722156016,0
A/CAMBODIA/X0810301/2013_1-1-2,-0.10754137374205741,-0.08681678098152568,0.1766463050544368,-0.05309021292120775,0
