,dim1,dim2,dim3,dim4,label
A/CHICKEN/SCOTLAND/1959_C,-0.17659103184861613,0.1674560801319831,0.05999756422830027,-0.18613564065928312,2
A/TERN/SOUTH-AFRICA/1961_C,0.3777810414482923,0.09779774350875936,-0.40183983905634646,-0.10340410066571715,2
A/TURKEY/WISCONSIN/1968_C,1.1737019088418443,0.2680133462033771,-0.3060398124094723,1.127313208797263,1
A/DUCK/HONG-KONG/205/1977_C,-0.17826990162884826,-0.20467151619938928,0.36181774695098134,-0.30481774429464314,2
A/CHICKEN/HIDALGO/28159-232/1994_C,-0.32500907980114135,-0.21141243028886159,0.2105839035616177,-0.04062580665740667,2
A/EMU/NEW-YORK/12716/1994_C,0.6915350000648328,0.032550829987456356,-0.0548573868234663,0.5523081067181863,1
A/MALLARD/NETHERLANDS/3/1999_C,0.2340012611092288,0.14813931720654572,0.10661985910253025,0.1383623448665437,2
A/AVIAN/NEW-YORK/315883/2000_C,-0.04229680089846877,-0.16721963107540638,0.0778348337129453,-0.5447215528620245,3
A/ENVIRONMENT/DELAWARE/1346/2001_C,0.10416799961177836,0.35178349520048835,-0.14608505142789752,0.007101863736497238,2
A/MALLARD/SWEDEN/21/2002_C,0.3257128021050302,-0.08052369564469686,-0.08167582276335872,-0.44836567540263095,3
A/MALLARD/SWEDEN/49/2002_C,0.003355827035226522,0.1262367788023797,-0.007571111989609136,0.220531499461873,2
A/MALLARD/SWEDEN/7/2002_C,-0.29347280728545866,0.04503012019257291,0.13481844706137236,0.02524917348275635,3
A/HONG-KONG/486/1997_0,0.015740417385679883,0.24980682054980918,0.03589561668933661,-0.060269540974681624,2
A/HONG-KONG/156/1997_0,-0.044758484831657785,0.215904006645659,-0.01025090295064257,-0.08759570713830667,2
A/HONG-KONG/483/1997_0,-0.7239868090380723,0.5411794777080178,0.040849368809065645,-0.05167330945325732,1
A/VIETNAM/1194/2004_1,0.03396208556747626,-0.06627690654162843,-0.019544788750585518,0.08602245932216768,1
A/VIETNAM/1203/2004_1,0.3970599800296029,-0.13716745685563314,0.2150973800578,0.18835128324347128,1
A/VIETNAM/1204/2004_1,0.3571961601103965,-0.6361305979091454,-0.3030692557906356,0.3528600028750657,1
A/VIETNAM/3212/2004_1,-0.4370304849626556,-0.06777266322072517,0.1677206984526567,-0.07930420026845253,1
A/VIETNAM/3218/2004_1,-0.034270229920553064,-0.35591073544005103,-0.0676696628446698,0.17385675115953125,1
