,dim1,dim2,dim3,dim4,label
A/DUCK/HONGKONG/205B/1977,-1.1651177891439006,-1.4039821466759834,0.0705001104286167,0.5701366903464165,0
A/MALLARD/NETHERLANDS/3A/1999,-1.1442145302928144,-1.4223139072970734,-0.2383876314756932,0.6563924815061024,0
A/MALLARD/SWEDEN/49B/2002,-2.0026184141740804,-1.7918530502552588,-0.4160565658596982,1.5272938986943498,0
A/HONGKONG/156A/1997,-1.0849556057296743,-1.1925246786833674,-0.09386474904891429,0.43569035439187265,0
A/HONGKONG/483B/1997,-0.39229394587337774,-0.9668925481830437,0.3016665904097393,0.24460083664109544,0
A/VIETNAM/1194D/2004,1.132983291539456,0.6477726568480799,0.17881609843859136,0.22668911015846072,0
A/INDONESIA/5F/2005,-1.4999804180679273,-0.7733248134791872,0.2331948107105073,-0.5467845681974066,0
A/CHICKEN/WESTJAVA/EURRG30A/2007,-1.1514051515476336,-0.575260554064011,0.15097311694683058,0.0829971978079457,0
A/CHICKEN/CENTRALJAVA/051B/2009,-1.524639106694245,-1.165274955961318,0.23698651999084008,-0.22590036641389344,0
A/CHICKEN/NORTHSUMATRA/072A/2010,-1.6229718420953165,-1.5907576981281097,-0.14203754355352904,0.041126753442263464,0
A/CHICKEN/EASTJAVA/121B/2010,-1.5862315146532566,-0.7800582903944369,-0.8327939722101632,0.14389482157687938,0
A/CHICKEN/SOUTHSULAWESI/157A/2011,-0.5795869447301891,0.22573486476457205,0.6296930297584769,-0.4254706715777077,0
A/TURKEY/TURKEY/1A/2005,-0.8077719036444515,-0.42544108449108897,0.412625550943694,-0.8873239465655298,0
A/IRAQ/755A/2006,-0.658370478430752,-0.5394624955105495,0.6985676726802468,-0.5093364186422509,0
A/EGYPT/NO1753B/2014,-0.29028411614923755,-0.24467618123105994,-0.1959323250967624,-0.4414444409400833,0
A/DUCK/BANGLADESH/19097B/2013,-0.07226375291440568,0.49592478662285333,0.3134419017571186,-0.0917086973398773,0
A/ANHUI/1C/2005,-1.8954219276829836,-4.312800345283905,-2.013074459391527,-0.28586571878752176,0
A/GUIZHOU/1A/2013,-0.8375494881163082,-1.847165788422306,-0.6506738128885077,0.549022247983318,0
A/GOOSE/EASTERNCHINA/1112A/2011,-1.2667783704725402,-0.8616461277619074,-0.4251368080838631,0.21889786927731275,0
A/GUANGZHOU/39715A/2014,-1.1252424722214776,-0.6211179635752262,-0.5596236064467144,0.8983016275321434,0
A/GYRFALCON/WASHINGTON/41088-6B/2014,-0.6648560845940494,-0.8302286341227721,-0.5293901421699654,-0.2250684476851137,0
A/CAMBODIA/X0810301B/2013,0.7231792348519896,0.22560323606911709,-0.04325064949917501,0.7128390781517069,0
A/CHICKEN/JIANGSU/K0101B/2010,0.4660927359899938,0.9570054503154637,-0.3279555156877785,0.06690594439299624,0
A/SICHUAN/26221A/2014,-1.52134583948756,-1.1067106277546301,-0.45963830721295196,0.14370563670252645,0
A/DUCK/GIZA/15292SA/2015,0.20531080843986574,0.36700915723638794,0.1210656711887137,-0.5010402369927385,0
A/CHICKEN/NETHERLANDS/EMC-3C/2014,-3.411469301272067,-0.16287116058416817,-0.5543327205631021,-0.44392087272962377,0
A/FUJIAN-SANYUAN/21099A/2017,-2.734853368110036,-0.4301911978901404,-0.6734085282183848,-0.16977493491052664,0
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,-3.9078952777877265,-1.3348856298520846,-0.5191422990832102,-0.115388617575793,0
