,dim1,dim2,dim3,dim4,label
A/DUCK/HONGKONG/205B/1977,-0.09499930087101408,-0.2755437518747814,0.009643254301589854,0.5112931967878358,1
A/MALLARD/NETHERLANDS/3A/1999,0.12139587508568683,-0.05090220612305352,-0.09735289298249006,0.7354610389634767,1
A/MALLARD/SWEDEN/49B/2002,-0.739599506107764,-0.4212534390221965,-0.15259805604508014,1.6666391848211242,1
A/HONGKONG/156A/1997,-0.034245122259368654,-0.07765390697083463,-0.057608645436609596,0.4394949090931335,1
A/HONGKONG/483B/1997,0.5875237606417753,0.02568831421349005,0.16390620957418767,0.07772372291551727,1
A/VIETNAM/1194D/2004,0.9729225322811386,-0.12663591656738832,-0.06132537519578854,0.7890126385969232,2
A/INDONESIA/5F/2005,-0.14523744705327335,-0.0234367942486835,-0.1529781548987117,-0.6816959170276373,2
A/CHICKEN/WESTJAVA/EURRG30A/2007,0.009435037818571246,-0.1810844095342906,-0.12104510351310827,0.06664398321539122,2
A/CHICKEN/CENTRALJAVA/051B/2009,-0.7118290245703152,-0.8446578218029545,-0.16749313452581815,-0.21090069126279826,2
A/CHICKEN/NORTHSUMATRA/072A/2010,-0.8032280665143732,-0.1334835830553378,0.05634712801420233,-0.6449066637003107,0
A/CHICKEN/EASTJAVA/121B/2010,-0.8840592897442501,-1.0614834222804164,-0.9420875380221987,-0.060584759828346435,2
A/CHICKEN/SOUTHSULAWESI/157A/2011,-1.1827930660921613,-0.4841795603929482,0.16169103006675822,-0.5358614579185359,1
A/TURKEY/TURKEY/1A/2005,0.3058068810532131,0.12462814358424978,0.03647735473173208,-0.30446848898655343,2
A/IRAQ/755A/2006,0.3303326714797411,0.039408173801423696,0.23583406268275153,-0.23864505984431839,2
A/EGYPT/NO1753B/2014,-0.019044892700022735,0.03298685571789717,-0.07817234307469612,-0.29655075332354697,1
A/DUCK/BANGLADESH/19097B/2013,-0.3123366362511186,0.17779339518152293,0.006648361705630877,-0.17352114331276525,1
A/ANHUI/1C/2005,0.3780087637892193,-2.513376434591395,-2.0020075030658453,-0.8178848663538316,0
A/GUIZHOU/1A/2013,0.4234732936197163,-0.06297467640099241,-0.36467043675199773,0.022703758563738408,0
A/GOOSE/EASTERNCHINA/1112A/2011,0.22048379527093664,0.33742802103414693,0.12720390356477074,0.5298150456364796,0
A/GUANGZHOU/39715A/2014,-0.49702221621151754,-0.23136485177554023,0.19416040938499446,0.6899796120380073,1
A/GYRFALCON/WASHINGTON/41088-6B/2014,-0.28797512095716327,-0.4970556095270895,-0.13752015462469913,-0.09674773042849161,1
A/CAMBODIA/X0810301B/2013,0.38896012087851745,-0.6760638313226974,-0.29867871480667896,1.1686026976031791,2
A/CHICKEN/JIANGSU/K0101B/2010,0.42667557251345245,0.6394313369214917,-0.09629723107880928,-0.2680703274686729,1
A/SICHUAN/26221A/2014,0.0909237202107045,0.022766724253092008,0.16339204004875985,0.6596838369265932,0
A/DUCK/GIZA/15292SA/2015,0.41049350726303735,0.6021761075276941,-0.008424382293932386,-0.3973034116158196,1
A/CHICKEN/NETHERLANDS/EMC-3C/2014,-1.4220855428093315,0.2853393659916932,-0.03585730463651515,0.4319076424846684,0
A/FUJIAN-SANYUAN/21099A/2017,-0.8927404948944595,0.3678793295995131,-0.03765388987396978,0.6434958148646446,0
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,-0.3998386414312889,-1.1361519965550255,0.06151874799352175,1.6575837993358258,0
