,dim1,dim2,dim3,dim4,label
A/CHICKEN/SCOTLAND/1959_C,0.1132169470266684,-0.09007549001424464,0.0745815228600879,-0.0734168719997923,0
A/TERN/SOUTH-AFRICA/1961_C,-0.09069536638544284,0.2972601865495279,-0.0890178117635323,-0.08699170374385501,2
A/TURKEY/WISCONSIN/1968_C,1.1022025371388438,0.37743234748229215,-0.36859221109996154,0.9215337048041256,1
A/DUCK/HONG-KONG/205/1977_C,0.7619874433025506,-0.32103022110455237,0.06268156647939005,-0.32588479309149965,2
A/CHICKEN/HIDALGO/28159-232/1994_C,-0.47660354617353384,-0.2454636137334104,0.3464551137240117,0.04362818012971015,2
A/EMU/NEW-YORK/12716/1994_C,0.5595400137174985,0.13071368381193665,-0.09103236659186154,0.3289932359220291,1
A/MALLARD/NETHERLANDS/3/1999_C,0.6476521107164601,0.09152863858981686,0.03356285608190612,0.21613800175647785,2
A/AVIAN/NEW-YORK/315883/2000_C,0.7716083458931768,0.28354497557709957,-0.17135922303908746,-0.6882101587663138,0
A/ENVIRONMENT/DELAWARE/1346/2001_C,-0.033317239521055475,0.058911154911080565,0.2446396548963458,0.49096984879648486,0
A/MALLARD/SWEDEN/21/2002_C,-0.39115027876275144,0.25832826581930224,0.4354508006599398,0.1312137497396216,2
A/MALLARD/SWEDEN/49/2002_C,0.01163253277795162,0.16916380880546122,0.09369858991076363,0.2855965245087069,2
A/MALLARD/SWEDEN/7/2002_C,0.5070892680900403,0.16176578930215557,-0.10892595097556057,-0.17749701268700357,0
A/HONG-KONG/486/1997_0,0.08459044587755904,-0.0419018831725515,0.15115998721017426,0.13157211574509087,0
A/HONG-KONG/156/1997_0,0.2826442297827825,0.04314721951650502,-0.010841555717006734,-0.007513741106589977,0
A/HONG-KONG/483/1997_0,-0.5646577124194956,0.4928171711500866,-0.08835836274859155,-0.23380592290922086,1
A/VIETNAM/1194/2004_1,0.2727383818214945,-0.25786501392381944,-0.13211270081156723,-0.07317007721513047,1
A/VIETNAM/1203/2004_1,0.840311704237759,-0.4460623603929874,0.06004740176328771,0.08315449170674594,1
A/VIETNAM/1204/2004_1,0.5533879095981061,-0.7915364964766332,-0.4041893277017403,0.19131250094119645,1
A/VIETNAM/3212/2004_1,0.03878895067929089,-0.35559789049289314,0.014933140683994317,-0.14550520127940914,1
A/VIETNAM/3218/2004_1,0.1726581636843475,-0.5261147490735614,-0.17224228358302884,0.00956442119299572,1
A/CAMBODIA/R0405050/2007_1-1,2.6703596145323685,0.6186062585616441,-1.204991259507473,0.9807433128674838,1
A/DUCK/VIETNAM/OIE-0062/2012_1-1-1,0.14233020989342382,-0.3133330366027456,-0.14204467678670873,-0.10352142132655562,1
A/CAMBODIA/X0810301/2013_1-1-2,0.04293687808279434,-0.04839284572925595,0.13629411148111503,-0.1329248425543209,1
A/INDONESIA/5/2005_2-1-3-2,0.1318133232993559,0.19918517929411061,-0.044403597835261155,0.17614590360536742,1
A/DUCK/HUNAN/795/2002_2-1-1,-0.08330309851352644,0.08016598074587256,-0.7996537685960399,-0.337492323979675,3
A/CHICKEN/CENTRAL-JAVA/51/2009_2-1-3-2,0.4911876692993289,-0.08526718325568794,-0.09739863595761689,-0.5205568845397508,1
A/CHICKEN/CENTRAL-JAVA/52/2009_2-1-3-2B,-0.3673765950485138,0.17502238839044404,0.24424544807971404,-0.01412939497646759,1
A/CHICKEN/WEST-JAVA/59/2009_2-1-3-2B,-0.227044638382716,-0.017108942371299563,0.2728235843789406,-0.061695675001511185,1
A/CHICKEN/NORTH-SUMATRA/27/2009_2-1-3-2,0.2542348376214765,0.054157800099761566,-0.18672398475962781,-0.06409188116702413,1
