,dim1,dim2,dim3,dim4,label
A/DUCK/HONGKONG/205B/1977,-0.7221329399804892,0.4593656297173152,0.3055471660606037,0.242036902513332,0
A/MALLARD/NETHERLANDS/3A/1999,0.021018929609154746,0.3686225259258329,0.21206539740779462,-0.2441531665470319,0
A/MALLARD/SWEDEN/49B/2002,-0.700964679977897,0.162461825921155,0.9776528248140417,-0.40133202961608955,0
A/HONGKONG/156A/1997,-0.24188434943398418,-0.21936457115254004,0.12096184728118509,-0.283283692757233,2
A/HONGKONG/483B/1997,-0.3780416745790869,0.4339684549658221,-0.2042294188496676,0.15014860721882672,0
A/VIETNAM/1194D/2004,0.14177994896449264,-0.5445623886672041,-0.006282316296279067,-1.0692545933047775,2
A/INDONESIA/5F/2005,-0.13660779285890023,0.45427454748450957,-0.06612906368481486,0.38790611057453717,1
A/CHICKEN/WESTJAVA/EURRG30A/2007,-0.2469036902978754,0.16684890113623707,0.06844107331072968,-0.15536367983298582,1
A/CHICKEN/CENTRALJAVA/051B/2009,-0.38092533528873984,0.2684619355496438,0.028378885762790573,0.6588587241640331,3
A/CHICKEN/NORTHSUMATRA/072A/2010,-0.5207758487437868,0.48224001768991087,0.13571906477151496,0.31377311590199786,3
A/CHICKEN/EASTJAVA/121B/2010,-0.21410993898588315,0.680624631959768,0.3428386022735195,0.244301069139645,3
A/CHICKEN/SOUTHSULAWESI/157A/2011,0.014050331275955397,0.1454411811865972,-0.1363276578443468,0.8141293788797279,3
A/TURKEY/TURKEY/1A/2005,0.054285180870112804,0.03214147918519775,-0.15493504192435736,-0.11877676481085686,1
A/IRAQ/755A/2006,-0.3955618860332726,0.16639427723545852,-0.25439234756131146,-0.22748200843215738,1
A/EGYPT/NO1753B/2014,-0.31429351787345294,0.27239516912568296,0.030767438104618128,0.3954151129130008,3
A/DUCK/BANGLADESH/19097B/2013,0.4406148639457582,-0.1936382479727179,-0.06579830330061992,0.060699335583151104,3
A/ANHUI/1C/2005,-0.49274729107501525,3.14126083146909,0.401801740378817,-0.12656409992026085,3
A/GUIZHOU/1A/2013,-0.28999857910760873,0.805180602920793,0.006871421764997665,-0.7989633743813374,3
A/GOOSE/EASTERNCHINA/1112A/2011,-0.6986096053993083,0.4841110199839218,0.09630351577397267,-0.4326910494274785,2
A/GUANGZHOU/39715A/2014,0.07719505143700528,-0.12591299140455003,0.018694411991037274,-0.31401128148040436,0
A/GYRFALCON/WASHINGTON/41088-6B/2014,-0.311688978549816,0.3938670889384719,0.026013488775798288,-0.24861760899363983,1
A/CAMBODIA/X0810301B/2013,0.2524265478144945,0.14396466798337015,-0.1934386721960212,-0.6788560130334331,0
A/CHICKEN/JIANGSU/K0101B/2010,0.3145657887111546,-0.31074537010603526,0.07336734875919504,0.3559087232034979,0
A/SICHUAN/26221A/2014,-0.4578915733936585,0.529264214115241,-0.2397107841986157,-0.5004261516398683,2
A/DUCK/GIZA/15292SA/2015,0.5007200452105753,-0.14168191222683638,-0.1830258944144556,0.12622129653627168,3
A/CHICKEN/NETHERLANDS/EMC-3C/2014,0.6471321751489764,-0.4043237561096089,0.395322490158291,0.977484148586611,2
A/FUJIAN-SANYUAN/21099A/2017,0.11369273734624957,-0.04443622597395969,0.22142276183623144,0.24043204246155003,2
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,-0.48719544314172847,-0.25122131931441594,0.22411523594701954,0.701913526317893,2
