,dim1,dim2,dim3,dim4,label
A/DUCK/HONGKONG/205B/1977,-0.13195247810767174,-0.12688079483467773,0.15871208933475422,-0.6323922578587743,0
A/MALLARD/NETHERLANDS/3A/1999,0.013405681979711481,-0.15235552707929712,0.4481731187765976,-0.8035373581782878,0
A/MALLARD/SWEDEN/49B/2002,-0.9840651469092374,-0.2955786182161382,1.392488607200854,-0.7738705847333736,0
A/HONGKONG/156A/1997,0.07258413873166436,-0.1576936475675903,0.2650817888627506,-0.5099871106241939,0
A/HONGKONG/483B/1997,-0.9949161512223106,0.31606727633521925,0.05530077828937063,-0.386227328236058,1
A/VIETNAM/1194D/2004,0.4128438607905016,-0.16911244539008996,-0.3655506273322485,-1.2983562460526152,1
A/INDONESIA/5F/2005,0.3529844261916628,0.4698742524874673,-0.29222336387517267,0.5544973146593359,1
A/CHICKEN/WESTJAVA/EURRG30A/2007,0.06761090372705936,0.25022968542214663,-0.12720547586656283,-0.0732964724846834,1
A/CHICKEN/CENTRALJAVA/051B/2009,-0.7300170026555368,0.7522804279381048,0.10596945044372891,0.5778545057223323,1
A/CHICKEN/NORTHSUMATRA/072A/2010,-0.6199543572232473,0.6621488303569412,0.04114185896116207,0.49187390837973166,0
A/CHICKEN/EASTJAVA/121B/2010,-0.4087403604987402,0.463220934961057,0.5031122354298576,0.8123797909868282,0
A/CHICKEN/SOUTHSULAWESI/157A/2011,-0.4723767135768088,-0.12198144950703327,-0.06871340032582958,1.6034040553923594,0
A/TURKEY/TURKEY/1A/2005,0.2905585246538862,0.09304344411721152,-0.052299885278085156,1.11189073528517,0
A/IRAQ/755A/2006,0.13617189050132184,-0.02496459405570506,-0.4597598574819366,0.6372034844971988,0
A/EGYPT/NO1753B/2014,0.35362576043338767,-0.020582724730936475,0.0917138784801339,0.589098032281818,0
A/DUCK/BANGLADESH/19097B/2013,0.293163789643239,-0.3913052380072255,-0.03111176888603831,0.6060302302148939,0
A/ANHUI/1C/2005,-0.9064209554589473,3.7777826785638533,0.11755220899561154,-0.1861110891638933,0
A/GUIZHOU/1A/2013,-0.33304249389851526,1.006047621708165,-0.07685846026323695,-0.6731264684645037,0
A/GOOSE/EASTERNCHINA/1112A/2011,-0.3400848639314902,-0.09720226699703272,0.49427743805023816,0.4314659624152266,0
A/GUANGZHOU/39715A/2014,0.1444930668743099,-0.9021079498729159,0.3574845156584465,-0.7218569680767859,0
A/GYRFALCON/WASHINGTON/41088-6B/2014,-0.05385344491937366,0.17245090485624637,0.30337116884641124,0.5100517222843994,0
A/CAMBODIA/X0810301B/2013,-0.6443871628084266,0.2627981830656205,0.2897939793400085,-1.1986247664704224,1
A/CHICKEN/JIANGSU/K0101B/2010,0.8737607919250064,-0.008652585487258724,-0.3092028210573745,-0.9236726979407909,1
A/SICHUAN/26221A/2014,-0.6611997757312814,0.47276515301698074,0.08554758581565536,0.036994046328479246,1
A/DUCK/GIZA/15292SA/2015,0.8776274218958109,-0.3102069347925315,-0.19211795546391208,0.3687966762441399,0
A/CHICKEN/NETHERLANDS/EMC-3C/2014,-0.09586388477200454,-0.5013127625246594,1.050747463131461,1.5751488778286715,1
A/FUJIAN-SANYUAN/21099A/2017,-0.38086430782928077,-0.12443694591838472,0.7961586697889529,0.9550016118387603,1
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,-1.5293001631524947,-0.12036345608627741,1.1910876516353595,1.6502394304625236,1
