,dim1,dim2,dim3,dim4,label
A/DUCK/HONGKONG/205B/1977,-0.20389873923222934,-0.06561671275048697,0.20178194162234098,-0.21330835964039052,0
A/MALLARD/NETHERLANDS/3A/1999,-0.04015800027275107,-0.16861801649115193,0.3988097172857712,-0.26617590069483177,0
A/MALLARD/SWEDEN/49B/2002,-0.9995033874708272,-0.3569881980971896,1.2572562600657584,-0.2950146913998987,0
A/HONGKONG/156A/1997,0.02858507051736403,-0.14011298298227515,0.23862402945408556,-0.1389521691534773,0
A/HONGKONG/483B/1997,0.5095535411191929,-0.13646700826780572,-0.4975240258675666,-0.6281263665815228,0
A/VIETNAM/1194D/2004,0.06301723966237383,-0.8444109739212731,0.14042396723991435,-0.3526800116609302,2
A/INDONESIA/5F/2005,0.3858059431800902,0.4095860282338961,-0.2164203232326949,0.4723271542473313,1
A/CHICKEN/WESTJAVA/EURRG30A/2007,-0.08816481880892413,0.3204195642342387,0.006460616599370805,-0.15398646319475473,1
A/CHICKEN/CENTRALJAVA/051B/2009,-0.5797932700176558,0.5576277053891481,-0.009765433138721191,0.6180496198634704,0
A/CHICKEN/NORTHSUMATRA/072A/2010,-0.5566487875488972,0.8524088605358873,0.027989268537109813,0.11603505459662089,0
A/CHICKEN/EASTJAVA/121B/2010,-0.037763512229605944,0.6368569099245862,0.07805677740622574,-0.5546787121304306,0
A/CHICKEN/SOUTHSULAWESI/157A/2011,-0.46405337813483444,-0.10332105999421914,-0.0746541699583418,0.8726019163392218,0
A/TURKEY/TURKEY/1A/2005,0.07436677020680915,0.4127795532017635,-0.2601942130847612,-0.18746176169742323,1
A/IRAQ/755A/2006,0.16036748405763235,0.14336494744603945,-0.4554531559624917,-0.17648029607810978,1
A/EGYPT/NO1753B/2014,0.42125940265573103,-0.13660618290048032,-0.14353796454160128,0.3264616199956616,0
A/DUCK/BANGLADESH/19097B/2013,0.31323243804389866,-0.3809453132875391,-0.08006310550228307,0.07260799164213338,0
A/ANHUI/1C/2005,-0.09274600649677378,2.097683298289008,0.23181626691397378,-0.2783752421183432,3
A/GUIZHOU/1A/2013,0.30292843037844275,-0.6571770976284805,0.45422979616414405,-0.5556778831766283,3
A/GOOSE/EASTERNCHINA/1112A/2011,-0.09637344887367827,-0.13031668797100382,0.06619931119409173,-0.1989578147679787,0
A/GUANGZHOU/39715A/2014,-0.7090828260473598,-0.28520463072435476,0.17586292526393654,-0.6644490704969017,2
A/GYRFALCON/WASHINGTON/41088-6B/2014,0.13737763845591106,0.03508653609043977,-0.12723592070316397,0.062463986746925215,0
A/CAMBODIA/X0810301B/2013,-0.6538814461277247,0.4115775743477079,0.3272454962320853,-1.216494248266304,1
A/CHICKEN/JIANGSU/K0101B/2010,-0.07658109695310777,-0.2933826235032955,0.3939178087510564,0.31981678522198537,2
A/SICHUAN/26221A/2014,-0.3055038248470436,-0.11144040406795197,0.12284288853494929,0.11688790858298148,0
A/DUCK/GIZA/15292SA/2015,0.5147675572834128,-0.1994591666279498,0.050115659614455854,0.6189873750205843,3
A/CHICKEN/NETHERLANDS/EMC-3C/2014,0.1921403546970493,-0.14089143584222974,0.7506795890083275,1.124003417359523,2
A/FUJIAN-SANYUAN/21099A/2017,0.054534733881801134,0.13414761862328062,0.4330296814986303,0.5117104927159053,2
A/CHICKEN/VIETNAM/NCVD-15A59A/2015,-0.3186554399004725,0.16010949797512808,0.3402176015896574,0.5057895278614533,2
