,dim1,dim2,dim3,dim4,label
A/CHICKEN/SCOTLAND/1959_C,-1.0371380194458963,-0.8576241300462344,-0.19104580015613548,0.15212453585993257,0
A/TERN/SOUTH-AFRICA/1963_C,-1.1636465212728149,-1.0808525651639547,-0.2581062340256137,-0.23001255904605622,0
A/TURKEY/WISCONSIN/1968_C,1.508685972045484,2.566467688121864,0.03472347101138851,-2.6885701849413413,0
A/DUCK/HONG-KONG/205/1977_C,0.9188681931577407,-0.2599890012150614,-0.5310834917899278,-0.590220767073333,0
A/CHICKEN/HIDALGO/28159-232/1994_C,-0.05287022653789286,-0.8371096048512494,0.017101915821494007,-0.07987503160281494,0
A/EMU/NEW-YORK/12716/1994_C,1.7523601589235573,2.6328098223553624,0.10608428217802246,-1.7874538316172848,0
A/MALLARD/NETHERLANDS/3/1999_C,0.21698719662881638,-0.4306622196422989,-0.5761918793734575,-0.9220791821624716,0
A/AVIAN/NEW-YORK/315883/2000_C,-0.9086562695533053,-1.3722722202555926,-0.4782197899870345,0.19715577437693538,0
A/ENVIRONMENT/DELAWARE/1346/2001_C,-1.4572924035161972,-1.020468568786159,-0.4014429275566429,-0.18262348207342272,0
A/MALLARD/SWEDEN/21/2002_C,-0.6299441285032853,-1.0540532587112796,-0.6139892190602876,-0.12375927187085578,0
A/MALLARD/SWEDEN/49/2002_C,-0.6370587696039943,-0.8739781273270717,-0.34312059461243527,-0.5802182930921295,0
A/MALLARD/SWEDEN/7/2002_C,-0.9878746518264667,-1.0384525896016161,-0.40853950943301975,-0.08226447389915606,0
A/HONG-KONG/486/1997_0,-1.1457499056706681,-0.7956003350038808,-0.24047308187639072,0.023068240278312113,0
A/HONG-KONG/156/1997_0,-0.9476566156326025,-0.9292384329427421,-0.22934213835543638,-0.023394825677713893,0
A/HONG-KONG/483/1997_0,1.8655468145906648,1.5016007512439318,0.36886556496857414,-1.1811474497676984,0
A/VIETNAM/1194/2004_1,2.198058889984669,2.7150009529500543,0.4667751301993813,-1.1579713090436368,0
A/VIETNAM/1203/2004_1,1.9679820896510227,2.97908609558195,0.2964695695306929,-1.205215285820707,0
A/VIETNAM/1204/2004_1,2.074268305784522,3.1324200735272774,0.9064137087078585,-1.387054850829676,0
A/VIETNAM/3212/2004_1,1.2920109064135419,1.8534205105381982,0.5544093847045997,-0.48388406945882645,0
A/VIETNAM/3218/2004_1,2.05416635169295,2.818769827691974,0.7114175602676155,-1.0974430785654343,0
A/CAMBODIA/R0405050/2007_1-1,2.856729875884028,3.6624964694424635,-0.4870160207855774,-3.4933871346325867,0
A/DUCK/VIETNAM/OIE-0062/2012_1-1-1,2.1472817666742614,2.62315402412395,0.5831940171040386,-1.0619547235255795,0
A/CAMBODIA/X0810301/2013_1-1-2,0.34684386960127084,0.9590146091555176,0.2648466069412166,-0.23298874865558505,0
A/INDONESIA/5/2005_2-1,-1.9464325400155227,-1.2656711536800374,0.3295076371827841,0.2365862157972931,0
A/DUCK/HUNAN/795/2002_2-1-1,2.3419198699741917,0.7475871967297282,0.9319682067751969,1.7662315314020567,0
A/CHICKEN/CENTRAL-JAVA/51/2009_2-1-3-2,-1.3445047450036425,-1.1970111677597906,0.39302713510277454,0.8874747433255261,0
A/CHICKEN/CENTRAL-JAVA/52/2009_2-1-3-2,-1.0911854355168413,0.019055742265905007,0.009303589358326647,0.302699740694099,0
A/CHICKEN/WEST-JAVA/59/2009_2-1-3-2,-1.0440810027989975,0.4110761711995963,-0.048649871113502385,0.4167800281283982,0
A/CHICKEN/NORTH-SUMATRA/27/2009_2-1-3-2,-1.6634411064508028,-1.0505501252614282,0.4355380341548549,0.23333513126549077,0
A/CHICKEN/WEST-JAVA/47/2009_2-1-3-2,-0.9925149108409852,0.5213451866634509,-0.09123447625013359,0.22663652152475477,0
A/CHICKEN/NORTH-SUMATRA/72/2010_2-1-3-3,-1.5995027612268176,-1.5478709444605456,-0.028783241991882758,0.27891686959085416,0
A/CHICKEN/WEST-JAVA/90/2010_2-1-3-2,-0.8953665467928171,0.35746883147816555,0.13352469774088327,0.34481647142202587,0
A/CHICKEN/EAST-JAVA/121/2010_2-1-3-2,-0.7882226954025102,0.5614076780732353,0.024931532376329724,0.483245709745449,0
A/CHICKEN/SOUTH-SULAWESI/157/2011_2-1-3-1,0.26661525306280964,0.575564731358138,1.053451741189956,1.0334164715131569,0
A/INDONESIA/NIHRD11771/2011_2-1-3-2,-1.324073766091531,-0.06360114300108854,-0.047509278340712946,0.3047217141316034,0
A/INDONESIA/NIHRD13233/2013_2-1-3-2,-1.5293292301582793,-0.10995941936282794,0.14335828941367623,0.3372559634257781,0
A/TURKEY/TURKEY/1/2005_2-2,0.2974117197771754,0.0700340331688673,0.4877369274657153,-0.1254515019109248,0
A/BAR-HEADED-GOOSE/QINGHAI/1A/2005_2-2,-0.9364528847587721,-0.4998674113461853,0.046083683905619344,-0.4115747490678867,0
A/IRAQ/755/2006_2-2,-0.22013498619429128,-0.2657497563658167,0.3483543987280576,-0.1487204200227782,0
A/TURKEY/65596/2006_2-2,-0.33420144792891593,-0.330817787890881,0.23861316035180724,-0.10806520160635935,0
A/CHICKEN/NIGERIA/BA209/2006_2-2,0.08137880612959059,-0.08679019632646412,0.4993894126465719,0.13323428764447365,0
A/CHICKEN/NIGERIA/BA210/2006_2-2,0.1765837854107718,0.07372824554981317,0.5876192113593184,-0.11801962864187088,0
A/CHICKEN/NIGERIA/SO452/2006_2-2,-0.015437629557792265,0.20560000157198677,0.6819667268100644,-0.2588296902010492,0
